Fecha	Título	Link	Perma.cc
37447.0	"Acepta Echeverría que hay impunidad"	"http://archivo.eluniversal.com.mx/primera/12758.html"	"https://perma.cc/HW4H-CPLV"
37448.0	"Tiene la Fiscalía Especial la nómina de los Halcones"	"http://archivo.eluniversal.com.mx/columnas/24377.html"	"https://perma.cc/2K78-DHHQ"
37448.0	"En los 70, feroz antigenocida"	"http://archivo.eluniversal.com.mx/nacion/86854.html"	"https://perma.cc/RRE9-TBUY"
37448.0	"Entregan archivos de guerra sucia"	"http://archivo.eluniversal.com.mx/nacion/86857.html"	"https://perma.cc/47BH-UZFT"
37448.0	"Opera ya la Corte Internacional: PRI"	"http://archivo.eluniversal.com.mx/nacion/86856.html"	"https://perma.cc/658Q-3APZ"
37454.0	"Declarará Martínez Domínguez en un hospital de Monterrey"	"http://archivo.eluniversal.com.mx/nacion/87039.html"	"https://perma.cc/8LDP-VSA7"
37454.0	"Basa Echeverría defensa en los informes de GDO"	"http://archivo.eluniversal.com.mx/nacion/87037.html"	"https://perma.cc/Q2Q6-YRNE"
37457.0	"Atrae fiscal querella de Pablo Gómez contra Echeverría"	"http://archivo.eluniversal.com.mx/nacion/87165.html"	"https://perma.cc/N9P2-HUJE"
37459.0	"Rechazan dar concesiones a Martínez Domínguez"	"http://archivo.eluniversal.com.mx/nacion/87226.html"	"https://perma.cc/SD3E-B5W5"
37460.0	"Se abstiene ex regente de declarar sobre el 68"	"http://archivo.eluniversal.com.mx/nacion/87264.html"	"https://perma.cc/2EW3-R742"
37460.0	"Lo vimos con buena salud"	"http://archivo.eluniversal.com.mx/nacion/87265.html"	"https://perma.cc/WQ5K-E4GC"
37465.0	"Prevén hallar desaparecidos con gran daño"	"http://archivo.eluniversal.com.mx/nacion/87375.html"	"https://perma.cc/7SDR-G3V5"
37467.0	"Citará Fiscalía a López Portillo"	"http://archivo.eluniversal.com.mx/primera/12858.html"	"https://perma.cc/K472-5GQF"
37468.0	"Claman justicia los familiares de Lucio Cabañas"	"http://archivo.eluniversal.com.mx/nacion/87465.html"	"https://perma.cc/Q6G9-PVK2"
37469.0	"La comparecencia de Luis Echeverría, relevante para fiscal"	"http://archivo.eluniversal.com.mx/nacion/87482.html"	"https://perma.cc/34QV-YFBP"
37470.0	"Instala PGR portal para \"guerra sucia"	"http://archivo.eluniversal.com.mx/nacion/87507.html"	"https://perma.cc/89C8-JLJ9"
37475.0	"Limitada, la indagación sobre guerra sucia"	"http://archivo.eluniversal.com.mx/nacion/87645.html"	"https://perma.cc/9CNK-U2S5"
37482.0	"Echeverría se rehúsa a declarar en Fiscalía por matanza del 68"	"http://archivo.eluniversal.com.mx/nacion/87950.html"	"https://perma.cc/3DHY-VWXL"
37483.0	"Considera ex regente no responder a fiscalía"	"http://archivo.eluniversal.com.mx/nacion/87977.html"	"https://perma.cc/RX5U-LATR"
37483.0	"Piden a Carrillo atraer otra demanda sobre 68"	"http://archivo.eluniversal.com.mx/nacion/87978.html"	"https://perma.cc/AHU7-TFXW"
37484.0	"Solicita fiscal retirar archivos del 68 al público"	"http://archivo.eluniversal.com.mx/nacion/88018.html"	"https://perma.cc/8LZ8-QBDZ"
37486.0	"Cuestionan autonomía de la Fiscalía Especial"	"http://archivo.eluniversal.com.mx/nacion/88070.html"	"https://perma.cc/6GQF-HC4P"
37495.0	"Jesús Piedra Ibarra, domicilio desconocido"	"http://archivo.eluniversal.com.mx/editoriales/15787.html"	"https://perma.cc/C9LE-KALB"
37496.0	"Demandan ante Fiscalía Especial de la PGR a Gordillo y Jonguitud"	"http://archivo.eluniversal.com.mx/nacion/88351.html"	"https://perma.cc/HCR7-U73J"
37498.0	"El silencio de Echeverría, \"cobarde y cínico"	"http://archivo.eluniversal.com.mx/nacion/88415.html"	"https://perma.cc/SD32-HD7W"
37500.0	"Entrega la UNAM 1,700 fotos del 68 a fiscalía especial"	"http://archivo.eluniversal.com.mx/nacion/88474.html"	"https://perma.cc/MWW3-E2VN"
