EDI_NENA,Inventory of text source data files,,,,,,
,Revised 08 October 2017,,,,,,
,,,,,,,
,,,,,,,
EDI identifier,Organization or Program,Date of collection,Web browser,Location of source,"Permanent links (added by QDR as of May 30, 2018)",File name,Notes
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/energy-sector,https://perma.cc/R6L9-F2RC,EDI_NENA.ON002.text.CUPEEnergy.2017.nvcx,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/water,https://perma.cc/M4DE-XJJA,EDI_NENA.ON002.text.CUPEWater.2017.nvcx,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/montreal-light-rail-cupe-quebec-and-trainsparence-coalition-condemn-trudeau-government-funding,https://perma.cc/Q7MV-PUT4,EDI_NENA.ON002.text.CUPEMontreallightrail.2017.nvcx,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/environment,https://perma.cc/7T2G-Z56M,EDI_NENA.ON002.text.CUPEEnvironment.2017.nvcx,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/cupe-and-coalition-partners-rally-around-green-jobs,https://perma.cc/P6JT-G5MJ,EDI_NENA.ON002.text.CUPEGreenJobs.2014.nvcx,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/cupe-paris-climate-talks,https://perma.cc/P9QN-LM8P,EDI_NENA.ON002.text.CUPEParis.2016.nvcx,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/cupe-takes-environmental-leap-national-convention,https://perma.cc/9GNY-ENH2,EDI_NENA.ON002.text.CUPEEnvlleap.2016.nvcx,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/climate-change-workshop,https://perma.cc/FTA7-EAKC,EDI_NENA.ON002.text.CUPEClimateChangeWorkshop.2016.nvcx,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/cupe-takes-part-climate-jobs-forum,https://perma.cc/E9MN-W3SA,EDI_NENA.ON002.text.CUPEClimateJobsForum.2017.nvcx,
ON003,Ottawa Renewable Energy Coop,,,,,,
ON004,Ontario Sustainable Energy Association,,,,,,
ON005,TREC Renewable Energy Co-op,,,,,,
ON006,Federation of Community Power Co-operatives (FCPC),,,,,,
ON007,The Leap,5-Oct-17,Google Chrome,https://leapmanifesto.org/wp-content/uploads/2015/09/Manifesto-en.pdf,https://perma.cc/AUU8-DFVA,EDI_NENA.ON007.text.LeapManifesto.2015,
ON007,The Leap,5-Oct-17,Google Chrome,https://leapmanifesto.org/wp-content/uploads/2015/09/leafletE-05-10-flipped.pdf,https://perma.cc/H5ET-DM3Y,EDI_NENA.ON007.text.LeapManifestoLeaflet.2015,
ON007,The Leap,5-Oct-17,Google Chrome,https://leapmanifesto.org/wp-content/uploads/2015/09/Afford-en1.pdf,https://perma.cc/4BRE-WWC4,EDI_NENA.ON007.text.Campbell.2015,
