Filename(s)	Permanent link	Original URL	Author	Title	Year	Publication	Date	Date scraped
"MyrickWeinstein_fpp_Egypt_MuhammadA"	"https://perma.cc/K6UW-BXUP"	"https://www.amnesty.org/en/wp-content/uploads/2021/06/mde120172003en.pdf"	""	"'Aziza 'Abbas Muhammad (f)"	2003	""	"4/14/2003"	"9/8/2021"
"MyrickWeinstein_fpp_Egypt_alRab"	"https://perma.cc/R9NA-VYF6"	"https://www.amnesty.org/en/wp-content/uploads/2021/06/mde120182003en.pdf"	""	"Sayida Muhammad Gad al-Rab (f), aged 28"	2003	""	"4/13/2003"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Safarzadeh2"	"https://perma.cc/2AQM-E3VY"	"https://www.amnesty.org/en/wp-content/uploads/2021/06/mde130272008eng.pdf"	""	"Iran: Women's rights defenders defy represssion: Ronak Safarzadeh"	2008	""	"2/28/2008"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Shahsavar"	"https://perma.cc/5TQ3-Y556"	"https://www.amnesty.org/en/wp-content/uploads/2021/06/mde131152009en.pdf"	""	"Iran: Further information: Some journalists freed, many still in prison"	2009	""	"10/30/2009"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Badawi"	"https://perma.cc/L424-REJ4"	"https://www.amnesty.org/en/wp-content/uploads/2021/06/mde131272006en.pdf"	""	"Fahima Ismail Badawi (f) aged 26"	2006	""	"11/13/2006"	"9/8/2021"
"MyrickWeinstein_fpp_Syria_Amin"	"https://perma.cc/J8S5-YB7Y"	"https://www.amnesty.org/en/wp-content/uploads/2021/06/mde240222014en.pdf"	""	"Syria: Poet arrested, life in danger"	2014	""	"6/6/2014"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Norouzi"	"https://perma.cc/HLE3-R38E"	"https://www.amnesty.org/en/wp-content/uploads/2021/08/mde130232005en.pdf"	""	"Iran: Too little, too late � Afsaneh Norouzi�s death sentence and pardon"	2005	""	"5/12/2005"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Darabi"	"https://perma.cc/3QPN-MV5F"	"https://www.amnestyusa.org/juvenile-offender-executed-in-iran-this-morning/"	""	"Juvenile Offender Executed in Iran This Morning"	2009	"Amnesty International USA"	"5/1/2009"	"9/8/2021"
"MyrickWeinstein_fpp_Myanmar_MieMie; MyrickWeinstein_fpp_Myanmar_Thein"	"https://perma.cc/N7YZ-QYB2"	"https://www.bbc.com/news/world-asia-16540871"	""	"Burma frees high-profile dissidents in amnesty"	2012	"BBC News"	"1/13/2012"	"9/8/2021"
"MyrickWeinstein_fpp_China_Yu"	"https://perma.cc/45Y3-9YWQ"	"https://www.bbc.com/news/world-asia-china-34929468"	""	"Gao Yu: Chinese journalist released from jail over illness"	2015	"BBC News"	"11/26/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Venezuela_Afiuni"	"https://perma.cc/RUM4-C4ZS"	"https://www.bbc.com/news/world-latin-america-22916391"	""	"Venezuela ends house arrest of Judge Maria Afiuni"	2013	"BBC News"	"6/15/2013"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Sotoudeh"	"https://perma.cc/8YBK-522S"	"https://www.bbc.com/news/world-middle-east-24151298"	""	"Iran: Nasrin Sotoudeh 'among freed political prisoners'"	2013	"BBC News"	"9/18/2013"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Ghavami"	"https://perma.cc/SY8J-9GDQ"	"https://www.bbc.com/news/world-middle-east-30170752"	""	"Volleyball woman Ghoncheh Ghavami out of Iran prison"	2014	"BBC News"	"11/23/2014"	"9/8/2021"
"MyrickWeinstein_fpp_Ethiopia_Kifle2"	"https://perma.cc/D25W-LNV4"	"https://www.businessghana.com/"	""	"Ethiopia grants pardon to former opposition leaders"	2009	"BusinessGhana"	"12/17/2009"	"9/9/2021"
"MyrickWeinstein_fpp_China_Kerim"	"https://perma.cc/33BH-GRPQ"	"https://www.cecc.gov/publications/commission-analysis/rebiya-kadeers-employees-released-after-seven-month-detention"	""	"Rebiya Kadeer's Employees Released After Seven-Month Detention"	2006	"Congressional-Executive Commission on China"	"6/2/2006"	"9/8/2021"
"MyrickWeinstein_fpp_China_Ying"	"https://perma.cc/3ZBE-Q5MQ"	"https://www.chinaaid.org/2012/02/christian-newspaper-editor-south-china.html"	""	"Imprisoned Christian Newspaper Editor, South China Church Leader Li Ying Released Five Years Early"	2012	"ChinaAid Association"	"2/23/2012"	"9/8/2021"
"MyrickWeinstein_fpp_China_Ying2"	"https://perma.cc/S3J6-4KBX"	"https://www.churchinchains.ie/news-by-country/east-asia/china/china-li-ying-released-five-years-early/"	""	"CHINA: Li Ying released five years early � Church In Chains � Ireland :: An Irish voice for suffering, persecuted Christians Worldwide"	2012	"Church in Chains"	"2/23/2012"	"9/8/2021"
"MyrickWeinstein_fpp_China_Shuhua2"	"https://perma.cc/VDG9-7FWN"	"https://www.clearharmony.net/articles/a42729-Ms-Hu-Fangju-Incarcerated-in-Jiangxi-Women-s-Prison.html"	""	"Ms. Hu Fangju Incarcerated in Jiangxi Women's Prison"	2008	"Clearharmony"	"1/8/2008"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Kalhori"	"https://perma.cc/GH89-QWSF"	"https://www.comminit.com/content/stop-stoning-forever-campaign"	""	"Stop Stoning Forever Campaign"	2010	"The Communication Initiative Network"	"9/9/2010"	"9/8/2021"
