Filename	Title	Source
"Trachtenberg_BR_19600927"	"Confidential Annex to C.O.S. (60) 59th Meeting, September 27, 1960"	"Public Record Office, London"
"Trachtenberg_BR_196009DD"	"Report re: Mid-Range Ballistic Missiles"	"Public Record Office, London"
"Trachtenberg_BR_19601004"	"Confidential Annex to C.O.S. (60) 61st Meeting, October 4, 1960"	"n/a"
"Trachtenberg_BR_19601005"	"MM/COS(60) 12th, Record of a Meeting between the Minister of Defence and the Chiefs of Staff, October 5, 1960"	"n/a"
"Trachtenberg_BR_19601007"	"U.K. Del. N.A.T.O. telegram N. 252 to Foreign Office"	"Public Record Office, London"
"Trachtenberg_BR_19601017"	"British Embassy Washington Letter to Shuckburgh, October 17, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19601024"	"Note by the War Office, Berlin Contingency Planning Advance Training for Operation \"Trade Wind\", October 24, 1960"	"n/a"
"Trachtenberg_BR_19601025"	"Confidential Annex to C.O.S. (60) 66th Meeting, October 25, 1960"	"n/a"
"Trachtenberg_BR_19601026"	"PMWN/p (60)3 Oct 26, 1960 Working Paper on Policy on Nuclear Weapons for NATO \"United States Proposals for a NATO MRBM Force\" (two parts)"	"Public Record Office, London"
"Trachtenberg_BR_19601027"	"Note to Macmillan re: N.A.T.O. M.R.B.M (part)"	"Public Record Office, London"
"Trachtenberg_BR_19601114"	"Copy of a letter from General Lauris Norstad U.S.A.F. to the United Kingdom, Chiefs of Staff, Correlation of Tripartite Military Actions That Can Be Taken to Maintain Access to Berlin (S), October 18, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19601129"	"Confidential Annex to C.O.S. (60) 73rd Meeting, November 29, 1960"	"n/a"
"Trachtenberg_BR_19601212"	"Record of a Meeting between the Rt. Hon. Harold Watkinson, M.P., United Kingdom Minister of Defence, and the Hon. Thomas Gates, United States Secretary of Defence in London, December 12, 1960"	"n/a"
"Trachtenberg_BR_19601215"	"Summary from Watkinson-Strauss Talks (parts)"	"n/a"
"Trachtenberg_BR_1960MMDD"	"Military Strategy for Circumstances Short of Global War 1960-1970 A Joint Study, A Study on Nuclear Weapons"	"Public Record Office, London"
"Trachtenberg_BR_19610117"	"Note, re: Macmillan's Visit to General de Gaulle, Ramsbotham to Shuckburgh, January 17, 1961"	"n/a"
"Trachtenberg_BR_19610118"	"PM(W) (61) Norman Brook Memo, \"Some Aspects of Our Relation with the US and Europe\" (parts)"	"n/a"
"Trachtenberg_BR_19610126"	"Saceur's Nuclear Armoury, The More Important Points Brought Out in Saceur's Briefing to the North Atlantic Council"	"Public Record Office, London"
"Trachtenberg_BR_19610128"	"Extract from Conversation between de Gaulle and Macmillan at Rambouillet (part)"	"Public Record Office, London"
"Trachtenberg_BR_196101DD"	"Draft Memorandum by the United Kingdom Minister of Defence, NATO Strategy and Nuclear Weapons"	"Public Record Office, London"
"Trachtenberg_BR_19610214"	"Watkinson Memo to Macmillan re: NATO MRBMs, February 14, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610223"	"Record of Meeting between the Prime Minister and Dr. Adenauer at Admiralty House, February 23, 1961"	"n/a"
"Trachtenberg_BR_19610317"	"UK Ministry of Defense Brief re: NATO Strategy on Nuclear Weapons (part) PM(W)(61)16"	"n/a"
