QDRFilename	Provenance	Enterspublicdomainafteryear:
"Leonard_DR_BancoCentral_Statistics_D-I-2_1997.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_1998.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_1999.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_2000.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_2001.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_2002.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-3_1985-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_1992.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_1993.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_1994.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_1995.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_1996.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_1997.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_1998.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_1999.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_2000.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_2001.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_2002.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-4_2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-5_1999.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-5_2000.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-5_2001.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-5_2002.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-5_2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-II-1_1997-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-III-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-III-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-I-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-I-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-I-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-I-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-II-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-II-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-II-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-II-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-II-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-II-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-III-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-III-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-III-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-III-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-IV-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-IV-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-IV-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-IV-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-IV-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-IV-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-IV-7.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-IV-8.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-IV-9.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-V-1_1999.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-V-1_2000.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-V-1_2001.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-V-1_2002.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_E-V-1_2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-1-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-1-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-1-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-1-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-2-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-2-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-2-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-2-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-2-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_F-I-2-6.xlsx"	"Banco Central"	""
